,listing_id,date,available,price
27741,197727,2017-09-04,t,$85.00
27742,197727,2017-09-03,t,$85.00
27743,197727,2017-09-02,t,$85.00
27744,197727,2017-09-01,t,$85.00
28105,932853,2017-09-05,t,$135.00
28106,932853,2017-09-04,t,$135.00
28107,932853,2017-09-03,t,$135.00
28108,932853,2017-09-02,t,$135.00
28109,932853,2017-09-01,t,$135.00
28470,11159585,2017-09-05,t,$125.00
28471,11159585,2017-09-04,t,$125.00
28472,11159585,2017-09-03,t,$125.00
28473,11159585,2017-09-02,t,$150.00
28474,11159585,2017-09-01,t,$150.00
29013,9677354,2017-09-05,t,$70.00
29014,9677354,2017-09-04,t,$70.00
29015,9677354,2017-09-03,t,$70.00
29016,9677354,2017-09-02,t,$70.00
29017,9677354,2017-09-01,t,$70.00
29466,13426831,2017-09-05,f,
29467,13426831,2017-09-04,f,
29468,13426831,2017-09-03,f,
29469,13426831,2017-09-02,f,
29470,13426831,2017-09-01,f,
29565,7956634,2017-09-05,t,$61.00
29566,7956634,2017-09-04,t,$61.00
29567,7956634,2017-09-03,t,$61.00
29568,7956634,2017-09-02,t,$61.00
29569,7956634,2017-09-01,t,$61.00
30152,568234,2017-09-05,t,$125.00
30153,568234,2017-09-04,t,$125.00
30154,568234,2017-09-03,t,$125.00
30155,568234,2017-09-02,t,$125.00
30156,568234,2017-09-01,t,$125.00
30472,1030500,2017-09-05,t,$100.00
30473,1030500,2017-09-04,t,$100.00
30474,1030500,2017-09-03,t,$100.00
30475,1030500,2017-09-02,t,$100.00
30476,1030500,2017-09-01,t,$100.00
30660,13652374,2017-09-05,f,
30661,13652374,2017-09-04,f,
30662,13652374,2017-09-03,f,
30663,13652374,2017-09-02,f,
30664,13652374,2017-09-01,f,
31025,12930651,2017-09-05,f,
31026,12930651,2017-09-04,f,
31027,12930651,2017-09-03,f,
31028,12930651,2017-09-02,f,
31029,12930651,2017-09-01,f,
31626,3997572,2017-09-05,t,$85.00
31627,3997572,2017-09-04,t,$85.00
31628,3997572,2017-09-03,t,$85.00
31629,3997572,2017-09-02,t,$85.00
31630,3997572,2017-09-01,t,$85.00
31755,4223387,2017-09-05,t,$75.00
31756,4223387,2017-09-04,t,$75.00
31757,4223387,2017-09-03,t,$75.00
31758,4223387,2017-09-02,t,$75.00
31759,4223387,2017-09-01,t,$75.00
32291,12855396,2017-09-05,t,$57.00
32292,12855396,2017-09-04,t,$57.00
32293,12855396,2017-09-03,t,$57.00
32294,12855396,2017-09-02,t,$57.00
32295,12855396,2017-09-01,t,$57.00
32772,12426823,2017-09-05,f,
32773,12426823,2017-09-04,f,
32774,12426823,2017-09-03,f,
32775,12426823,2017-09-02,f,
32776,12426823,2017-09-01,f,
33053,14361322,2017-09-05,t,$40.00
33054,14361322,2017-09-04,t,$40.00
33055,14361322,2017-09-03,t,$40.00
33056,14361322,2017-09-02,t,$40.00
33057,14361322,2017-09-01,t,$40.00
33405,2963419,2017-09-05,t,$100.00
33406,2963419,2017-09-04,t,$100.00
33407,2963419,2017-09-03,t,$100.00
33408,2963419,2017-09-02,t,$100.00
33409,2963419,2017-09-01,t,$100.00
33580,5904732,2017-09-05,t,$70.00
33581,5904732,2017-09-04,t,$70.00
33582,5904732,2017-09-03,t,$70.00
33583,5904732,2017-09-02,t,$70.00
33584,5904732,2017-09-01,t,$70.00
33945,3591359,2017-09-05,f,
33946,3591359,2017-09-04,f,
34207,3591359,2017-09-03,f,
34208,3591359,2017-09-02,f,
34209,3591359,2017-09-01,f,
34513,2538536,2017-09-05,t,$149.00
34514,2538536,2017-09-04,t,$149.00
34515,2538536,2017-09-03,t,$149.00
34516,2538536,2017-09-02,t,$149.00
34517,2538536,2017-09-01,t,$149.00
34892,4975581,2017-09-05,t,$200.00
34893,4975581,2017-09-04,t,$200.00
34894,4975581,2017-09-03,t,$200.00
34895,4975581,2017-09-02,t,$180.00
34896,4975581,2017-09-01,t,$180.00
35261,4767023,2017-09-05,t,$205.00
35262,4767023,2017-09-04,t,$205.00
35263,4767023,2017-09-03,t,$205.00
35264,4767023,2017-09-02,t,$220.00
35265,4767023,2017-09-01,t,$220.00
35405,6364042,2017-09-05,t,$65.00
35406,6364042,2017-09-04,t,$65.00
35407,6364042,2017-09-03,t,$65.00
35408,6364042,2017-09-02,t,$65.00
35409,6364042,2017-09-01,t,$65.00
35770,7986179,2017-09-05,f,
35771,7986179,2017-09-04,f,
35772,7986179,2017-09-03,f,
35773,7986179,2017-09-02,f,
35774,7986179,2017-09-01,f,
36311,14109003,2017-09-05,f,
36312,14109003,2017-09-04,f,
36313,14109003,2017-09-03,f,
36314,14109003,2017-09-02,f,
36315,14109003,2017-09-01,f,
36776,1109224,2017-09-05,t,$429.00
36777,1109224,2017-09-04,t,$429.00
36778,1109224,2017-09-03,t,$429.00
36779,1109224,2017-09-02,t,$469.00
36780,1109224,2017-09-01,t,$469.00
36865,1067184,2017-09-04,t,$95.00
36866,1067184,2017-09-03,t,$95.00
36867,1067184,2017-09-02,t,$95.00
36868,1067184,2017-09-01,t,$95.00
37141,1067184,2017-09-05,t,$95.00
37488,13215952,2017-09-05,f,
37489,13215952,2017-09-04,f,
37490,13215952,2017-09-03,f,
37491,13215952,2017-09-02,f,
37492,13215952,2017-09-01,f,
37860,777903,2017-09-05,t,$85.00
37861,777903,2017-09-04,t,$85.00
37862,777903,2017-09-03,t,$85.00
37863,777903,2017-09-02,t,$85.00
37864,777903,2017-09-01,t,$85.00
37960,1301500,2017-09-05,f,
37961,1301500,2017-09-04,f,
37962,1301500,2017-09-03,f,
37963,1301500,2017-09-02,f,
37964,1301500,2017-09-01,f,
38601,8923817,2017-09-05,t,$165.00
38602,8923817,2017-09-04,t,$165.00
38603,8923817,2017-09-03,t,$165.00
38604,8923817,2017-09-02,t,$170.00
38605,8923817,2017-09-01,t,$170.00
